iteration,arrivals,parked,rejected,peak_occupancy,peak_utilization,times_full,mc_arrivals,car_arrivals,truck_arrivals,mc_rejected,car_rejected,truck_rejected
0,699,244,455,231,100.0,43,528,150,21,381,63,11
1,684,240,444,231,100.0,45,525,128,31,379,45,20
2,681,238,443,231,100.0,47,525,127,29,379,45,19
3,726,243,483,231,100.0,45,563,131,32,412,50,21
4,701,248,453,231,100.0,44,527,144,30,375,59,19
5,667,241,426,231,100.0,44,502,136,29,356,53,17
6,669,238,431,231,100.0,46,517,122,30,372,39,20
7,686,246,440,231,100.0,44,513,143,30,362,59,19
8,653,246,407,231,100.0,46,489,135,29,336,52,19
9,702,237,465,231,100.0,45,524,147,31,380,64,21
10,675,244,431,231,100.0,44,520,127,28,369,44,18
11,836,245,591,231,100.0,47,639,173,24,486,92,13
12,699,242,457,231,100.0,46,539,142,18,393,56,8
13,734,245,489,231,100.0,46,564,132,38,412,51,26
14,620,237,383,231,100.0,51,474,122,24,330,39,14
15,703,241,462,231,100.0,45,513,153,37,365,70,27
16,724,248,476,231,100.0,47,565,132,27,412,47,17
17,713,242,471,231,100.0,44,544,144,25,395,61,15
18,731,248,483,231,100.0,44,554,149,28,400,65,18
19,665,241,424,231,100.0,43,484,162,19,336,79,9
20,719,240,479,231,100.0,44,544,146,29,395,65,19
21,661,242,419,231,100.0,46,503,140,18,356,55,8
22,683,242,441,231,100.0,45,516,143,24,365,62,14
23,657,244,413,231,100.0,43,501,129,27,352,45,16
24,755,249,506,231,100.0,44,589,140,26,434,56,16
25,752,248,504,231,100.0,45,565,153,34,414,66,24
26,699,239,460,231,100.0,45,530,145,24,383,63,14
27,715,244,471,231,100.0,50,553,136,26,405,50,16
28,643,245,398,231,100.0,44,469,136,38,319,53,26
29,655,252,403,231,100.0,46,503,136,16,347,51,5
30,651,247,404,231,100.0,49,512,117,22,357,35,12
31,669,238,431,231,100.0,42,492,153,24,345,72,14
32,781,242,539,231,100.0,44,580,167,34,434,82,23
33,729,250,479,231,100.0,44,564,135,30,410,49,20
34,719,244,475,231,100.0,46,537,150,32,387,66,22
