iteration,arrivals,parked,rejected,peak_occupancy,peak_utilization,times_full,mc_arrivals,car_arrivals,truck_arrivals,mc_rejected,car_rejected,truck_rejected
0,503,236,267,231,100.0,41,377,107,19,233,25,9
1,523,236,287,231,100.0,41,390,107,26,245,26,16
2,559,234,325,231,100.0,43,415,118,26,273,36,16
3,569,237,332,231,100.0,40,440,108,21,296,25,11
4,616,239,377,231,100.0,45,464,126,26,319,43,15
5,632,237,395,231,100.0,40,468,148,16,323,66,6
6,579,240,339,231,100.0,43,433,124,22,285,42,12
7,604,232,372,231,100.0,43,457,119,28,316,38,18
8,543,239,304,231,100.0,41,400,118,25,253,36,15
9,500,237,263,231,100.0,42,359,113,28,217,28,18
10,610,238,372,231,100.0,46,459,123,28,315,39,18
11,545,236,309,231,100.0,45,411,106,28,267,24,18
12,587,237,350,231,100.0,45,447,119,21,301,38,11
13,545,235,310,231,100.0,41,403,118,24,260,36,14
14,489,233,256,231,100.0,39,371,101,17,230,19,7
15,524,235,289,231,100.0,40,403,101,20,259,20,10
16,522,240,282,231,100.0,41,408,98,16,261,15,6
17,535,234,301,231,100.0,43,413,108,14,270,27,4
18,551,236,315,231,100.0,41,413,115,23,269,33,13
19,565,238,327,231,100.0,39,418,124,23,271,43,13
20,582,233,349,231,100.0,44,446,109,27,305,27,17
21,572,234,338,231,100.0,43,445,104,23,302,23,13
22,563,235,328,231,100.0,47,416,118,29,272,37,19
23,579,243,336,231,100.0,48,431,118,30,281,35,20
24,546,235,311,231,100.0,41,402,114,30,259,32,20
25,542,236,306,231,100.0,40,401,115,26,257,33,16
26,496,232,264,231,100.0,44,375,101,20,234,20,10
27,564,238,326,231,100.0,42,440,95,29,294,13,19
28,552,235,317,231,100.0,40,425,108,19,281,27,9
29,533,242,291,231,100.0,47,411,96,26,261,14,16
30,570,238,332,231,100.0,42,426,123,21,279,42,11
31,545,235,310,231,100.0,42,400,123,22,257,41,12
32,540,235,305,231,100.0,41,397,120,23,254,38,13
33,572,238,334,231,100.0,44,428,118,26,287,31,16
34,573,234,339,231,100.0,45,424,123,26,281,42,16
35,512,233,279,229,99.13419913419914,40,397,107,8,253,26,0
36,546,240,306,231,100.0,41,407,119,20,260,36,10
37,553,237,316,231,100.0,44,419,109,25,274,28,14
38,561,238,323,231,100.0,41,409,127,25,264,44,15
39,500,231,269,231,100.0,40,374,112,14,234,31,4
40,510,233,277,231,100.0,41,392,103,15,251,21,5
41,565,238,327,231,100.0,43,420,118,27,276,34,17
42,484,234,250,231,100.0,41,357,102,25,214,21,15
43,539,239,300,231,100.0,43,418,95,26,272,12,16
44,547,239,308,231,100.0,42,416,107,24,268,26,14
45,518,235,283,231,100.0,41,384,114,20,240,33,10
46,600,237,363,231,100.0,42,448,122,30,303,40,20
47,560,237,323,231,100.0,40,428,108,24,282,27,14
48,539,235,304,231,100.0,45,427,96,16,283,15,6
49,606,239,367,231,100.0,44,445,130,31,298,48,21
50,582,236,346,231,100.0,44,443,107,32,299,25,22
51,525,238,287,231,100.0,40,389,112,24,244,29,14
52,560,238,322,231,100.0,40,418,115,27,271,34,17
53,558,238,320,231,100.0,42,415,118,25,269,36,15
54,542,235,307,231,100.0,40,423,102,17,281,20,6
55,579,241,338,231,100.0,40,436,122,21,287,40,11
56,563,236,327,231,100.0,41,424,118,21,280,36,11
57,504,234,270,231,100.0,47,367,115,22,226,32,12
58,538,235,303,231,100.0,41,416,92,30,272,11,20
59,597,236,361,231,100.0,44,463,112,22,320,30,11
60,513,239,274,231,100.0,43,402,86,25,256,4,14
61,560,238,322,231,100.0,42,433,109,18,289,25,8
62,571,239,332,231,100.0,41,402,143,26,254,62,16
63,564,237,327,231,100.0,45,430,111,23,286,28,13
64,612,240,372,231,100.0,42,482,107,23,335,25,12
65,538,236,302,231,100.0,43,422,93,23,279,10,13
66,573,241,332,231,100.0,44,446,113,14,299,29,4
67,531,235,296,231,100.0,41,401,100,30,258,18,20
68,597,243,354,231,100.0,42,462,107,28,313,23,18
69,509,234,275,231,100.0,41,392,101,16,249,20,6
70,547,233,314,231,100.0,41,413,110,24,272,28,14
71,582,235,347,231,100.0,43,446,113,23,305,29,13
72,583,234,349,231,100.0,47,442,111,30,299,30,20
73,589,237,352,231,100.0,42,448,124,17,303,42,7
74,591,236,355,231,100.0,44,446,120,25,303,37,15
75,556,235,321,231,100.0,43,432,112,12,289,30,2
76,549,236,313,231,100.0,45,422,105,22,277,24,12
77,503,235,268,231,100.0,41,379,96,28,236,15,17
78,566,235,331,231,100.0,41,446,104,16,303,22,6
79,557,237,320,231,100.0,45,425,106,26,280,24,16
80,517,237,280,231,100.0,41,377,118,22,232,36,12
81,567,236,331,231,100.0,41,442,101,24,297,20,14
82,520,242,278,231,100.0,42,405,98,17,254,17,7
83,469,234,235,231,100.0,41,361,89,19,219,8,8
84,572,238,334,231,100.0,44,438,107,27,293,24,17
85,569,234,335,231,100.0,43,444,98,27,301,17,17
86,538,234,304,231,100.0,42,394,123,21,252,41,11
87,588,235,353,231,100.0,48,455,109,24,311,28,14
88,539,237,302,231,100.0,40,402,120,17,257,38,7
89,543,241,302,231,100.0,45,409,109,25,263,24,15
90,627,234,393,231,100.0,43,481,126,20,339,45,9
91,577,239,338,231,100.0,43,425,127,25,279,44,15
92,563,236,327,231,100.0,48,424,112,27,280,30,17
93,488,233,255,231,100.0,42,362,103,23,222,20,13
94,557,239,318,231,100.0,42,437,108,12,289,27,2
95,513,233,280,231,100.0,43,393,106,14,251,25,4
96,536,237,299,231,100.0,42,402,110,24,257,28,14
97,590,235,355,231,100.0,43,451,111,28,307,30,18
98,560,235,325,231,100.0,42,451,95,14,307,14,4
99,501,234,267,231,100.0,42,378,103,20,236,21,10
100,567,235,332,231,100.0,42,433,106,28,289,25,18
101,552,235,317,231,100.0,41,411,119,22,268,37,12
102,530,238,292,229,99.13419913419914,42,424,82,24,279,0,13
103,504,237,267,231,100.0,43,377,106,21,231,25,11
104,556,231,325,231,100.0,44,430,101,25,290,20,15
105,605,241,364,231,100.0,44,446,136,23,296,55,13
106,535,239,296,231,100.0,39,411,113,11,266,29,1
107,522,242,280,231,100.0,41,404,103,15,254,21,5
108,545,236,309,231,100.0,40,400,120,25,256,38,15
109,550,239,311,231,100.0,41,425,104,21,279,21,11
110,579,238,341,231,100.0,40,458,105,16,311,24,6
111,557,236,321,231,100.0,43,414,123,20,270,41,10
112,530,237,293,231,100.0,43,405,113,12,259,32,2
113,552,232,320,231,100.0,45,426,98,28,286,16,18
114,514,237,277,231,100.0,41,376,117,21,230,36,11
115,529,237,292,231,100.0,42,389,108,32,245,27,20
116,486,237,249,231,100.0,43,371,92,23,228,8,13
117,598,239,359,231,100.0,41,458,121,19,311,39,9
118,579,236,343,231,100.0,45,450,107,22,305,26,12
119,601,233,368,231,100.0,44,461,115,25,320,34,14
120,506,235,271,231,100.0,38,374,112,20,231,30,10
121,604,235,369,231,100.0,44,467,114,23,324,32,13
122,557,235,322,231,100.0,45,428,104,25,286,21,15
123,562,238,324,231,100.0,41,439,101,22,294,19,11
124,579,236,343,231,100.0,41,449,117,13,306,34,3
125,501,234,267,231,100.0,42,391,98,12,249,16,2
126,507,237,270,231,100.0,42,379,101,27,234,19,17
127,622,237,385,231,100.0,41,459,142,21,316,58,11
128,556,236,320,231,100.0,43,435,97,24,291,15,14
129,527,239,288,231,100.0,39,410,95,22,262,14,12
130,520,234,286,231,100.0,41,384,111,25,242,29,15
131,568,237,331,231,100.0,42,426,122,20,282,39,10
132,589,239,350,231,100.0,43,444,123,22,299,39,12
133,545,236,309,231,100.0,40,408,115,22,265,32,12
134,612,236,376,231,100.0,43,475,116,21,330,35,11
135,540,237,303,231,100.0,42,435,90,15,291,7,5
136,511,235,276,231,100.0,40,378,115,18,236,32,8
137,579,236,343,231,100.0,45,433,125,21,289,43,11
138,510,234,276,231,100.0,42,387,104,19,245,22,9
139,509,243,266,231,100.0,43,395,98,16,247,13,6
140,596,238,358,231,100.0,42,468,111,17,323,29,6
141,598,237,361,231,100.0,42,454,121,23,309,39,13
142,575,235,340,231,100.0,42,430,119,26,288,37,15
143,576,236,340,231,100.0,40,442,119,15,298,37,5
144,469,238,231,231,100.0,40,353,88,28,207,7,17
