iteration,arrivals,parked,rejected,peak_occupancy,peak_utilization,times_full,mc_arrivals,car_arrivals,truck_arrivals,mc_rejected,car_rejected,truck_rejected
0,716,240,476,231,100.0,43,542,144,30,397,61,18
1,682,244,438,231,100.0,43,509,143,30,358,61,19
2,664,243,421,231,100.0,44,501,135,28,352,51,18
3,723,246,477,231,100.0,44,558,133,32,407,48,22
4,684,247,437,231,100.0,49,521,125,38,371,38,28
5,693,238,455,231,100.0,51,543,128,22,398,45,12
6,773,245,528,231,100.0,46,583,164,26,433,80,15
7,653,242,411,231,100.0,45,482,148,23,335,64,12
8,669,243,426,231,100.0,46,498,143,28,349,60,17
9,724,247,477,231,100.0,45,565,133,26,413,48,16
10,706,240,466,231,100.0,43,545,140,21,397,58,11
11,730,248,482,231,100.0,43,535,160,35,380,77,25
12,695,246,449,231,100.0,45,538,127,30,386,43,20
13,740,246,494,231,100.0,45,574,146,20,422,62,10
14,751,244,507,231,100.0,43,576,151,24,427,66,14
15,689,247,442,231,100.0,51,522,133,34,372,46,24
16,791,242,549,231,100.0,44,606,157,28,456,75,18
17,717,246,471,231,100.0,43,534,158,25,381,75,15
18,728,242,486,231,100.0,45,552,141,35,404,58,24
19,690,253,437,231,100.0,49,526,141,23,367,57,13
20,737,245,492,231,100.0,47,563,144,30,411,62,19
21,778,245,533,231,100.0,44,581,163,34,433,76,24
22,688,244,444,231,100.0,49,521,146,21,370,63,11
23,709,238,471,231,100.0,46,527,150,32,383,67,21
24,698,246,452,231,100.0,46,543,124,31,392,39,21
25,700,239,461,231,100.0,45,523,150,27,376,68,17
26,720,247,473,231,100.0,43,545,151,24,394,65,14
27,684,235,449,231,100.0,46,509,145,30,367,62,20
28,728,243,485,231,100.0,44,562,143,23,412,60,13
29,684,244,440,231,100.0,48,539,119,26,388,36,16
30,709,245,464,231,100.0,44,536,150,23,386,65,13
31,703,240,463,231,100.0,44,540,138,25,392,56,15
32,678,240,438,231,100.0,45,517,131,30,371,47,20
33,663,243,420,231,100.0,44,520,122,21,369,40,11
34,767,245,522,231,100.0,44,596,142,29,444,59,19
35,706,246,460,231,100.0,50,531,142,33,378,60,22
36,693,241,452,231,100.0,43,530,138,25,381,56,15
37,707,245,462,231,100.0,47,540,144,23,389,60,13
38,713,241,472,231,100.0,43,523,152,38,375,69,28
39,679,244,435,231,100.0,45,519,134,26,368,52,15
40,696,244,452,231,100.0,47,530,136,30,382,52,18
41,670,243,427,231,100.0,47,504,134,32,354,52,21
42,695,242,453,231,100.0,44,557,117,21,409,33,11
43,736,243,493,231,100.0,47,543,159,34,391,78,24
44,659,248,411,231,100.0,46,497,126,36,342,43,26
45,716,246,470,231,100.0,44,543,143,30,390,60,20
46,680,244,436,231,100.0,44,502,157,21,351,74,11
47,679,250,429,231,100.0,45,524,129,26,368,45,16
48,745,240,505,231,100.0,45,567,145,33,419,63,23
49,684,241,443,231,100.0,43,522,144,18,372,63,8
50,704,247,457,231,100.0,44,519,157,28,367,72,18
51,733,244,489,231,100.0,49,572,137,24,422,53,14
52,722,238,484,231,100.0,49,551,142,29,404,61,19
53,728,243,485,231,100.0,51,564,131,33,414,49,22
54,701,246,455,231,100.0,44,551,118,32,398,36,21
55,779,244,535,231,100.0,45,593,160,26,443,77,15
56,719,239,480,231,100.0,45,554,135,30,409,51,20
57,730,244,486,231,100.0,44,565,132,33,414,49,23
58,746,247,499,231,100.0,45,566,151,29,416,64,19
59,646,240,406,231,100.0,43,497,120,29,352,35,19
