iteration,arrivals,parked,rejected,peak_occupancy,peak_utilization,times_full,mc_arrivals,car_arrivals,truck_arrivals,mc_rejected,car_rejected,truck_rejected
0,729,245,484,231,100.0,46,552,143,34,399,61,24
1,709,240,469,231,100.0,47,535,147,27,387,65,17
2,652,244,408,231,100.0,43,499,122,31,348,40,20
3,723,241,482,231,100.0,50,542,145,36,393,64,25
4,724,246,478,231,100.0,46,538,163,23,387,79,12
5,704,253,451,231,100.0,44,523,151,30,368,64,19
6,720,242,478,231,100.0,43,556,134,30,407,51,20
7,682,241,441,231,100.0,44,501,148,33,353,65,23
8,731,245,486,231,100.0,44,547,150,34,394,68,24
9,770,238,532,231,100.0,48,603,141,26,459,58,15
10,674,239,435,231,100.0,47,512,131,31,367,48,20
11,693,243,450,231,100.0,48,533,125,35,384,42,24
12,735,242,493,231,100.0,44,556,148,31,408,64,21
13,664,239,425,231,100.0,44,516,124,24,371,41,13
14,728,246,482,231,100.0,46,564,137,27,414,51,17
15,712,239,473,231,100.0,43,531,151,30,385,68,20
16,671,246,425,231,100.0,45,497,137,37,346,52,27
17,679,248,431,231,100.0,43,528,127,24,371,46,14
18,668,246,422,231,100.0,44,520,120,28,370,35,17
19,665,246,419,231,100.0,43,524,112,29,376,24,19
20,647,245,402,231,100.0,48,485,136,26,334,53,15
21,752,242,510,231,100.0,44,553,174,25,404,91,15
22,817,244,573,231,100.0,44,622,165,30,473,80,20
23,777,245,532,231,100.0,44,592,149,36,439,67,26
24,651,246,405,231,100.0,44,485,137,29,335,51,19
25,655,239,416,231,100.0,45,487,138,30,340,57,19
26,622,245,377,231,100.0,47,473,122,27,322,38,17
27,642,239,403,231,100.0,47,492,129,21,346,46,11
28,707,247,460,231,100.0,44,536,144,27,382,61,17
29,772,249,523,231,100.0,47,572,174,26,418,89,16
30,691,244,447,231,100.0,43,510,158,23,359,75,13
31,676,241,435,231,100.0,43,520,129,27,370,48,17
32,713,241,472,231,100.0,44,545,140,28,398,56,18
33,761,246,515,231,100.0,44,564,166,31,411,83,21
34,669,246,423,231,100.0,45,527,116,26,376,32,15
35,757,248,509,231,100.0,44,589,151,17,436,67,6
36,796,239,557,231,100.0,44,609,149,38,464,66,27
37,641,238,403,231,100.0,45,498,115,28,353,32,18
38,713,244,469,231,100.0,46,534,143,36,385,59,25
39,738,246,492,231,100.0,46,579,129,30,429,44,19
40,683,243,440,231,100.0,46,510,142,31,359,60,21
41,742,241,501,231,100.0,44,569,146,27,420,65,16
42,677,239,438,231,100.0,44,502,146,29,358,61,19
43,724,244,480,231,100.0,45,559,147,18,407,65,8
44,712,245,467,231,100.0,43,548,138,26,398,53,16
45,674,240,434,231,100.0,43,537,122,15,388,41,5
46,724,248,476,231,100.0,44,537,159,28,387,71,18
47,710,248,462,231,100.0,47,530,147,33,378,62,22
48,670,242,428,231,100.0,44,509,131,30,362,46,20
49,639,239,400,231,100.0,45,485,127,27,338,45,17
50,671,244,427,231,100.0,46,507,143,21,357,59,11
51,732,238,494,231,100.0,46,553,148,31,410,64,20
52,675,239,436,231,100.0,44,522,131,22,377,47,12
53,717,245,472,231,100.0,44,530,159,28,383,72,17
54,661,242,419,231,100.0,43,501,130,30,352,48,19
55,707,240,467,231,100.0,51,545,139,23,399,55,13
56,740,250,490,231,100.0,43,562,148,30,407,63,20
57,724,239,485,231,100.0,45,545,155,24,398,73,14
58,705,241,464,231,100.0,46,545,134,26,397,51,16
59,703,245,458,231,100.0,45,547,135,21,396,51,11
60,693,245,448,231,100.0,49,487,174,32,337,90,21
61,726,241,485,231,100.0,47,544,154,28,400,68,17
62,764,241,523,231,100.0,48,587,145,32,440,61,22
63,690,245,445,231,100.0,45,525,134,31,374,51,20
64,682,244,438,231,100.0,46,522,126,34,373,44,21
65,703,248,455,231,100.0,46,521,151,31,369,65,21
66,644,252,392,231,100.0,43,482,129,33,329,43,20
67,692,251,441,231,100.0,43,504,160,28,350,73,18
68,736,241,495,231,100.0,45,576,133,27,427,52,16
69,683,238,445,231,100.0,43,516,141,26,371,59,15
70,706,239,467,231,100.0,44,537,143,26,390,61,16
71,674,243,431,231,100.0,43,539,110,25,388,28,15
72,674,244,430,231,100.0,45,520,127,27,370,43,17
73,740,242,498,231,100.0,44,566,140,34,419,56,23
