iteration,arrivals,parked,rejected,peak_occupancy,peak_utilization,times_full,mc_arrivals,car_arrivals,truck_arrivals,mc_rejected,car_rejected,truck_rejected
0,621,238,383,231,100.0,44,486,114,21,341,32,10
1,563,238,325,231,100.0,46,433,105,25,289,22,14
2,584,235,349,231,100.0,42,443,121,20,302,38,9
3,504,237,267,231,100.0,39,395,91,18,249,10,8
4,580,239,341,231,100.0,41,454,110,16,306,29,6
5,654,236,418,231,100.0,43,502,132,20,358,50,10
6,661,240,421,231,100.0,42,523,116,22,375,34,12
7,617,242,375,231,100.0,42,472,122,23,322,40,13
8,708,239,469,231,100.0,46,535,146,27,388,64,17
9,590,240,350,231,100.0,42,437,129,24,290,46,14
10,622,236,386,231,100.0,43,464,141,17,320,59,7
11,580,237,343,231,100.0,43,440,122,18,296,39,8
12,574,237,337,231,100.0,41,436,118,20,290,37,10
13,579,239,340,231,100.0,44,448,105,26,302,22,16
14,632,246,386,231,100.0,44,492,122,18,341,37,8
15,647,237,410,231,100.0,42,480,143,24,336,60,14
16,616,243,373,231,100.0,45,486,109,21,335,27,11
17,644,236,408,231,100.0,42,485,134,25,341,52,15
18,594,243,351,231,100.0,42,458,113,23,306,32,13
19,614,238,376,231,100.0,42,462,120,32,317,37,22
20,648,243,405,231,100.0,44,495,130,23,344,48,13
21,643,237,406,231,100.0,41,481,137,25,338,53,15
22,580,239,341,231,100.0,41,440,111,29,292,30,19
23,628,236,392,231,100.0,45,487,116,25,343,34,15
24,631,237,394,231,100.0,43,471,131,29,327,48,19
25,622,238,384,231,100.0,43,467,128,27,322,45,17
26,708,243,465,231,100.0,46,536,146,26,387,62,16
27,570,237,333,231,100.0,42,421,126,23,276,44,13
28,552,237,315,231,100.0,44,420,107,25,275,26,14
29,624,246,378,231,100.0,43,491,110,23,339,27,12
30,629,236,393,231,100.0,47,481,127,21,338,44,11
31,590,236,354,231,100.0,44,449,110,31,306,27,21
32,671,236,435,231,100.0,42,517,131,23,373,49,13
33,586,238,348,231,100.0,39,436,124,26,290,42,16
34,560,237,323,231,100.0,41,425,109,26,279,28,16
35,579,237,342,231,100.0,45,442,116,21,297,34,11
36,614,236,378,231,100.0,42,470,119,25,326,37,15
37,715,237,478,231,100.0,46,532,142,41,388,59,31
38,576,239,337,231,100.0,42,447,107,22,299,26,12
39,632,235,397,231,100.0,43,478,135,19,334,54,9
40,616,238,378,231,100.0,43,478,112,26,331,31,16
41,573,239,334,231,100.0,43,443,116,14,297,33,4
42,564,240,324,231,100.0,44,424,111,29,277,28,19
43,578,242,336,231,100.0,42,437,118,23,288,35,13
44,566,240,326,231,100.0,43,417,124,25,270,41,15
45,585,241,344,231,100.0,42,444,124,17,298,39,7
46,659,237,422,231,100.0,47,501,122,36,356,40,26
47,546,242,304,231,100.0,41,413,112,21,267,27,10
48,559,245,314,231,100.0,43,418,117,24,268,32,14
49,647,242,405,231,100.0,41,493,130,24,346,46,13
50,597,242,355,231,100.0,42,464,108,25,318,22,15
51,614,236,378,231,100.0,42,480,111,23,337,28,13
52,638,238,400,231,100.0,43,474,137,27,328,55,17
53,611,238,373,231,100.0,41,479,101,31,333,19,21
54,603,240,363,231,100.0,47,447,124,32,300,41,22
55,595,242,353,231,100.0,45,456,116,23,308,33,12
56,575,241,334,231,100.0,46,443,106,26,294,24,16
57,613,243,370,231,100.0,41,477,119,17,328,35,7
58,612,242,370,231,100.0,44,475,114,23,327,30,13
59,602,243,359,231,100.0,41,445,136,21,295,54,10
60,671,237,434,231,100.0,47,513,136,22,369,54,11
61,557,237,320,231,100.0,42,426,112,19,281,30,9
62,611,240,371,231,100.0,42,460,129,22,313,47,11
63,564,240,324,231,100.0,43,426,114,24,278,32,14
64,590,236,354,231,100.0,41,448,116,26,304,34,16
65,581,239,342,231,100.0,42,437,118,26,291,35,16
66,574,236,338,231,100.0,43,428,118,28,284,36,18
67,565,236,329,231,100.0,41,420,122,23,275,41,13
68,616,235,381,231,100.0,45,442,144,30,299,62,20
69,660,237,423,231,100.0,45,514,127,19,371,43,9
70,613,240,373,231,100.0,43,471,119,23,323,37,13
71,638,240,398,231,100.0,44,476,132,30,328,50,20
72,598,240,358,231,100.0,43,451,130,17,303,48,7
73,623,238,385,231,100.0,43,495,108,20,350,26,9
74,570,239,331,231,100.0,45,436,110,24,291,27,13
75,624,240,384,231,100.0,45,468,135,21,319,54,11
76,607,237,370,231,100.0,44,465,117,25,322,34,14
77,616,240,376,231,100.0,45,464,122,30,317,40,19
78,607,239,368,231,100.0,41,472,119,16,325,38,5
79,557,239,318,231,100.0,47,431,103,23,283,22,13
80,649,238,411,231,100.0,44,504,124,21,360,40,11
81,584,236,348,231,100.0,42,443,119,22,300,36,12
82,590,235,355,231,100.0,43,461,111,18,320,27,8
83,704,241,463,231,100.0,43,539,137,28,391,54,18
84,602,244,358,231,100.0,43,463,113,26,314,29,15
85,610,239,371,231,100.0,42,479,117,14,332,35,4
86,639,237,402,231,100.0,42,478,131,30,332,50,20
87,619,236,383,231,100.0,42,490,103,26,345,22,16
88,627,238,389,231,100.0,44,474,117,36,328,35,26
89,577,237,340,231,100.0,43,445,107,25,300,25,15
90,623,242,381,231,100.0,45,465,138,20,317,55,9
91,585,239,346,231,100.0,41,451,111,23,304,30,12
92,581,235,346,231,100.0,42,431,123,27,288,41,17
93,563,235,328,231,100.0,47,429,112,22,287,29,12
94,587,239,348,231,100.0,42,465,103,19,318,21,9
95,589,240,349,231,100.0,43,441,123,25,295,39,15
96,593,241,352,231,100.0,44,451,104,38,305,21,26
97,636,240,396,231,100.0,45,500,107,29,352,25,19
98,621,237,384,231,100.0,42,496,109,16,352,26,6
99,598,238,360,231,100.0,45,451,119,28,307,35,18
